entry_id,ingredient_id,qty,cost_unit,cost_total
1,1,100,3.03,303
1,2,100,3.77,377
1,3,100,0.53,53
1,4,100,2.99,299
1,5,100,2.25,225
1,6,100,2.35,235
1,7,100,3.6,360
1,8,100,2.96,296
1,9,100,3.51,351
1,10,100,0.84,84
1,11,100,0.72,72
1,12,100,0.89,89
1,13,100,4,400
1,14,100,2.87,287
1,15,100,1.95,195
1,16,100,0.63,63
1,17,100,1.71,171
1,18,100,3.52,352
1,19,100,2.93,293
1,20,100,3.09,309
1,21,100,3.7,370
1,22,100,0.8,80
1,23,100,0.05,5
1,24,100,3.02,302
1,25,100,0.57,57
1,26,100,1.94,194
1,27,100,3.79,379
1,28,100,0.98,98
1,29,100,3.26,326
1,30,100,2.37,237
1,31,100,2.11,211
1,32,100,0.95,95
1,33,100,2.32,232
1,34,100,0.29,29
1,35,100,3.07,307
1,36,100,1.25,125
1,37,100,3.7,370
1,38,100,2.75,275
1,39,100,2.65,265
1,40,100,2.51,251
1,41,100,2.06,206
1,42,100,1.62,162
1,43,100,4,400
1,44,100,1.56,156
1,45,100,0.11,11
1,46,100,3.81,381
1,47,100,3.24,324
1,48,100,3.25,325
1,49,100,3.63,363
1,50,100,2.51,251
1,51,100,2.74,274
1,52,100,2.19,219
1,53,100,0.03,3
1,54,100,2.79,279
1,55,100,3.63,363
1,56,100,0.17,17
1,57,100,2.91,291
1,58,100,1.2,120
1,59,100,0.65,65
1,60,100,2.9,290
1,61,100,2.55,255
1,62,100,0.62,62
1,63,100,2,200
1,64,100,1.33,133
1,65,100,2.07,207
1,66,100,1.06,106
1,67,100,0.16,16
1,68,100,3.62,362
1,69,100,0.34,34
1,70,100,3.99,399
1,71,100,0.68,68
1,72,100,2.07,207
1,73,100,0.93,93
1,74,100,2.87,287
1,75,100,2.07,207
1,76,100,2.46,246
1,77,100,0.36,36
1,78,100,2.8,280
1,79,100,1.28,128
1,80,100,0.58,58
1,81,100,0.93,93
1,82,100,2.17,217
1,83,100,3.4,340
1,84,100,3.46,346
1,85,100,3.04,304
1,86,100,3.23,323
1,87,100,0.05,5
1,88,100,3.49,349
1,89,100,1.2,120
1,90,100,0.04,4
1,91,100,3.2,320
1,92,100,2.61,261
1,93,100,0.17,17
1,94,100,2.8,280
1,95,100,1.12,112
1,96,100,3,300
1,97,100,3.84,384
1,98,100,2.58,258
1,99,100,1.93,193
1,100,100,2.82,282
1,101,100,1.25,125
1,102,100,0.67,67
1,103,100,2.71,271
1,104,100,2.19,219
1,105,100,1.01,101
1,106,100,3.03,303
1,107,100,3.79,379
1,108,100,3.74,374
1,109,100,3.33,333
1,110,100,1.35,135
1,111,100,3.19,319
1,112,100,2.88,288
1,113,100,3.83,383
1,114,100,1.74,174
1,115,100,3.32,332
1,116,100,1,100
1,117,100,2.03,203
1,118,100,2.44,244
1,119,100,2.12,212
1,120,100,2.53,253
1,121,100,3.94,394
1,122,100,2.6,260
1,123,100,3.6,360
1,124,100,1.24,124
1,125,100,1.72,172
1,126,100,2.57,257
1,127,100,0.33,33
1,128,100,3.25,325
1,129,100,1.29,129
1,130,100,0.78,78
1,131,100,1.62,162
1,132,100,0.15,15
1,133,100,2.19,219
1,134,100,0.11,11
1,135,100,0.15,15
1,136,100,2.32,232
1,137,100,1.38,138
1,138,100,1.53,153
1,139,100,2.76,276
1,140,100,0.66,66
1,141,100,2.51,251
1,142,100,3.63,363
1,143,100,0.91,91
1,144,100,2.73,273
1,145,100,0.85,85
1,146,100,3.85,385
1,147,100,2.54,254
1,148,100,2.63,263
1,149,100,1.44,144
1,150,100,1.37,137
1,151,100,2.58,258
1,152,100,2.49,249
1,153,100,1.77,177
1,154,100,3.5,350
1,155,100,0.86,86
1,156,100,0.26,26
1,157,100,3.84,384
1,158,100,2.33,233
1,159,100,1.26,126
1,160,100,0.85,85
1,161,100,2.72,272
1,162,100,1.59,159
1,163,100,0.15,15
1,164,100,0.06,6
1,165,100,3.63,363
1,166,100,3.68,368
1,167,100,3.4,340
1,168,100,1.84,184
1,169,100,3.04,304
1,170,100,2.39,239
1,171,100,2.24,224
1,172,100,2.18,218
1,173,100,0.68,68
1,174,100,3.1,310
1,175,100,1.05,105
1,176,100,3.97,397
1,177,100,3,300
1,178,100,1.17,117
1,179,100,1.25,125
1,180,100,3.01,301
1,181,100,0.34,34
1,182,100,0.39,39
1,183,100,3.25,325
1,184,100,1.19,119
1,185,100,2.36,236
1,186,100,3.89,389
1,187,100,3.85,385
1,188,100,0.8,80
1,189,100,2.2,220
1,190,100,1.82,182
1,191,100,1.22,122
